Ratio.H.M.TotProt.R1.LOG2	Ratio.H.M.TotProt.R2.LOG2	Ratio.H.M.TotProt.R3.LOG2	T-test Significant 	Median_Log2.H.E.	p.value	t.statistic	-Log T-test p-value 	T-test q-value 	T-test Difference 	Protein.ID	Protein.Names	Gene.Name
-6.90859985351563	-7.20739984512329	-7.30019998550415	+	-7.20739984512329	0.00027378045840104	-60.4240159866353	3.56259755368732	0.00745469237529202	-7.13873322804769	P29034	Protein S100-A2	S100A2
-5.64489984512329	-6.06519985198975	-5.09600019454956	+	-5.64489984512329	0.00249956492572783	-19.9642242442169	2.60213557804866	0.0161760718770779	-5.60203329722087	Q9HCY8	Protein S100-A14	S100A14
-4.94259977340698	-4.76060009002686	-4.88250017166138	+	-4.88250017166138	0.000121240604223498	-90.8105823172093	3.91635190791743	0.0055912671443252	-4.86190001169841	A0A024R2B6	Serpin peptidase inhibitor, clade B (Ovalbumin), member 5, isoform CRA_b	SERPINB5
-4.57049989700317	-4.31300020217896	-3.44970011711121	+	-4.31300020217896	0.00672857836818881	-12.1293648670782	2.17207668502578	0.0255516266040577	-4.11106673876445	B2R8J0	Polypeptide N-acetylgalactosaminyltransferase	NA
-4.3105001449585	-4.40310001373291	-3.82690000534058	+	-4.3105001449585	0.00182139834038492	-23.3993413598906	2.73959506347917	0.0142858896624791	-4.18016672134399	Q6IPJ9	Ladinin-1	LAD1
-4.52409982681274	-3.97690010070801	-4.16099977493286	+	-4.16099977493286	0.00144752391323519	-26.2551944574165	2.83937425295451	0.013351125967295	-4.22066656748454	P12429	Annexin A3	ANXA3
-4.11149978637695	-4.27379989624023	-3.17770004272461	+	-4.11149978637695	0.00776103029663854	-11.2849820517763	2.11008062131089	0.0275511193337764	-3.8543332417806	Q99959-2	Isoform 1 of Plakophilin-2	PKP2
-3.81049990653992	-4.17990016937256	-3.99819993972778	+	-3.99819993972778	0.000711366326980865	-37.4732659321723	3.14790669629464	0.0103887974039585	-3.99620000521342	D3XNU5	E-cadherin 1	CDH1
-3.17560005187988	-4.35270023345947	-3.96670007705688	+	-3.96670007705688	0.00807607263749448	-11.0600446925289	2.09279978371436	0.0280850443651633	-3.83166678746541	Q14134-2	Isoform Beta of Tripartite motif-containing protein 29	TRIM29
-3.56369996070862	-4.60300016403198	-3.85870003700256	+	-3.85870003700256	0.00589840478128	-12.9629797203529	2.22926542709663	0.0237001052378751	-4.00846672058105	Q13753	Laminin subunit gamma-2	LAMC2
-3.51570010185242	-3.95370006561279	-3.81419992446899	+	-3.81419992446899	0.00117764968080857	-29.1144165859431	2.92898388129646	0.0121596347096961	-3.76120003064473	A0A024R8K7	Integrin beta	ITGB4
