Median_D492	Median_D492_Her2	Median_D492M	D492_1	D492_2	D492_3	D492_Her2_1	D492_Her2_2	D492_Her2_3	Coefficient of variation_D492	Coefficient of variation_D492_Her2	Protein ID_total	Protein ID_R1	Protein Names_R1	Gene Name (GN)_R1	Protein ID_R2	Protein Names_R2	Gene Name (GN)_R2	Protein ID_R3	Protein Names_R3	Gene Name (GN)_R3
#!{Type}E	E	E	N	N	N	N	N	N	N	N	T	T	T	T	T	T	T	T	T	T
1.151611328125	-0.50270688533783	-0.64890444278717	47.23289871	49.56570053	42.4416008	4.268300056	4.754000187	4.970399857	0.078254624	0.077087634	P23229-4	P23229-4	Isoform Alpha-6X2A of Integrin alpha-6	ITGA6	P23229-4	Isoform Alpha-6X2A of Integrin alpha-6	ITGA6	P23229-4	Isoform Alpha-6X2A of Integrin alpha-6	ITGA6
1.10994732379913	-0.27926966547966	-0.830677688121796	8.87250042	9.862199783	10.22570038	3.414599895	3.582600117	3.518100023	0.072547179	0.024179401	B3KY04	B3KY04	cDNA FLJ46506 fis, clone THYMU3030752, highly similar to BTB/POZ domain-containing protein KCTD12		B3KY04	cDNA FLJ46506 fis, clone THYMU3030752, highly similar to BTB/POZ domain-containing protein KCTD12		B3KY04	cDNA FLJ46506 fis, clone THYMU3030752, highly similar to BTB/POZ domain-containing protein KCTD12	
1.15034866333008	-0.488435804843903	-0.661912798881531	4.626900196	5.174499989	5.561800003	1.511500001	1.399600029	1.316300035	0.09172596	0.069509786	X5D2R7	X5D2R7	Proteasome subunit beta type	PSM8	X5D2R7	Proteasome subunit beta type	PSM8	X5D2R7	Proteasome subunit beta type	PSM8
1.12957835197449	-0.357329368591309	-0.772248983383179	5.926000118	6.364500046	5.419799805	2.074700117	2.139899969	2.055700064	0.080081238	0.02112909	Q9H6S3	Q9H6S3	Epidermal growth factor receptor kinase substrate 8-like protein 2	EPS8L2	Q9H6S3	Epidermal growth factor receptor kinase substrate 8-like protein 2	EPS8L2	Q9H6S3	Epidermal growth factor receptor kinase substrate 8-like protein 2	EPS8L2
1.15363121032715	-0.619841158390045	-0.533790051937103	5.668399811	4.947400093	4.992499828	0.853100002	0.796400011	0.758899987	0.077627971	0.059074489	P31947	P31947	14-3-3 protein sigma	SFN	P31947	14-3-3 protein sigma	SFN	P31947	14-3-3 protein sigma	SFN
1.10208117961884	-0.252606749534607	-0.849474489688873	5.779699802	5.228000164	4.751599789	2.293100119	2.376300097	2.21329999	0.097943956	0.035526448	Q9ULZ3-2	Q9ULZ3-2	Isoform 2 of Apoptosis-associated speck-like protein containing a CARD	PYCARD	Q9ULZ3-2	Isoform 2 of Apoptosis-associated speck-like protein containing a CARD	PYCARD	Q9ULZ3-2	Isoform 2 of Apoptosis-associated speck-like protein containing a CARD	PYCARD
1.1539888381958	-0.612099289894104	-0.541889488697052	NaN	4.830699921	4.739299774	NaN	0.825999975	0.860599995	0.013506722	0.029012106	B4DWL2				B4DWL2	cDNA FLJ54763, highly similar to DENN domain-containing protein 2D		B4DWL2	cDNA FLJ54763, highly similar to DENN domain-containing protein 2D	
1.12010753154755	-0.317114651203156	-0.802992820739746	4.817100048	4.434899807	4.542399883	1.894999981	1.820600033	2.079400063	0.042865498	0.068976319	O75369-8	O75369-8	Isoform 8 of Filamin-B	FLNB	O75369-8	Isoform 8 of Filamin-B	FLNB	O75369-8	Isoform 8 of Filamin-B	FLNB
1.15470039844513	-0.577773571014404	-0.57692688703537	3.863300085	3.673399925	4.01609993	0.998700023	0.895500004	0.998600006	0.044582538	0.061760619	Q9BST9	Q9BST9	Rhotekin	RTKN	Q9BST9	Rhotekin	RTKN	Q9BST9	Rhotekin	RTKN
