Selection column	Selection value	Category column	Category value	Total size	Selection size	Category size	Intersection size	Enrichment factor	P value	Benj. Hoch. FDR
#!{Type}C	C	C	C	N	N	N	N	N	N	N
GOBP slim name	meiosis	EM	YES	7081	7	859	4	4.7105	0.0051193	0.019318
GOBP slim name	nucleotide-sugar metabolic process	EM	YES	7081	10	859	5	4.1217	0.003444	0.013633
GOBP slim name	energy reserve metabolic process	EM	YES	7081	34	859	12	2.9094	0.00031263	0.0018957
GOBP slim name	extracellular matrix organization	EM	YES	7081	74	859	24	2.6735	2.4478E-06	5.3664E-05
GOBP slim name	extracellular structure organization	EM	YES	7081	74	859	24	2.6735	2.4478E-06	5.3664E-05
GOBP slim name	cellular aromatic compound metabolic process	EM	YES	7081	51	859	16	2.5861	0.00016149	0.0010703
GOBP slim name	protein maturation	EM	YES	7081	30	859	9	2.473	0.0053084	0.019648
GOBP slim name	regulation of body fluid levels	EM	YES	7081	108	859	30	2.2898	5.0554E-06	9.005E-05
GOBP slim name	regulation of translation	EM	YES	7081	106	859	29	2.2552	9.7632E-06	0.00015458
GOBP slim name	nucleobase-containing compound transport	EM	YES	7081	81	859	22	2.2389	0.00011598	0.00082634
GOBP slim name	coagulation	EM	YES	7081	96	859	25	2.1467	8.7003E-05	0.00068877
GOBP slim name	cell junction organization	EM	YES	7081	64	859	16	2.0608	0.0020865	0.0088752
GOBP slim name	cellular component disassembly	EM	YES	7081	179	859	44	2.0263	1.4638E-06	4.1719E-05
GOBP slim name	cellular amino acid metabolic process	EM	YES	7081	143	859	35	2.0176	1.7244E-05	0.00021368
GOBP slim name	nucleobase-containing small molecule metabolic process	EM	YES	7081	158	859	38	1.9826	1.1927E-05	0.0001725
GOBP slim name	heterocycle metabolic process	EM	YES	7081	179	859	43	1.9802	3.5328E-06	6.7122E-05
GOBP slim name	protein folding	EM	YES	7081	118	859	28	1.956	0.00018222	0.0011803
GOBP slim name	Golgi vesicle transport	EM	YES	7081	93	859	22	1.95	0.0008176	0.0040175
GOBP slim name	nucleotide metabolic process	EM	YES	7081	136	859	32	1.9396	8.1445E-05	0.0006632
GOBP slim name	RNA catabolic process	EM	YES	7081	94	859	22	1.9293	0.00093957	0.004478
GOBP slim name	organic acid metabolic process	EM	YES	7081	243	859	55	1.8658	1.2577E-06	3.9828E-05
GOBP slim name	RNA splicing	EM	YES	7081	146	859	33	1.8632	0.00013925	0.00094493
GOBP slim name	response to drug	EM	YES	7081	85	859	19	1.8426	0.0031517	0.012651
GOBP slim name	cellular ketone metabolic process	EM	YES	7081	252	859	56	1.8318	1.8284E-06	4.7371E-05
