Ratio.H.L.TotProt.R1.LOG2	Ratio.H.L.TotProt.R2.LOG2	Ratio.H.L.TotProt.R3.LOG2	T-test Significant 	Median_Log2.H.M.	p.value	t.statistic	-Log T-test p-value 	T-test q-value 	T-test Difference 	Protein.ID	Protein.Names	Gene.Name
-6.91940021514893	-7.01049995422363	-6.96495008468628	+	-6.96495008468628	1.42563292287338E-05	-264.84482922538	4.84599228380579	0.00331783662050567	-6.96495008468628	K7QZC2	Pro-opiomelanocortin (Fragment)	POMC
-6.01870012283325	-6.02530002593994	-4.92670011520386	+	-6.01870012283325	0.0130590535856289	-8.66478584720773	2.38302490053506	0.0335372912267421	-5.65690008799235	Q53H26	Transferrin variant (Fragment)	NA
-4.8639497756958	-4.72109985351563	-5.00680017471313	+	-4.86395001411438	0.000287392052739743	-58.9751423072267	3.54152523140657	0.0132562825053386	-4.86394993464152	H6VRG2	Keratin 1	KRT1
-5.83769989013672	-3.61199998855591	-4.76179981231689		-4.76179981231689	0.0130590535856289	-8.66478584720773	1.74691625111942	0.0630651311656528	-4.73716656366984	Q9UHG2	ProSAAS	PCSK1N
-3.5699999332428	-4.63070011138916	-4.10034990310669	+	-4.10035002231598	0.0130590535856289	-8.66478584720773	2.25725214642618	0.038471577996088	-4.10034998257955	P81605	Dermcidin	DCD
-3.97919988632202	-4.57149982452393	-4.06640005111694	+	-4.06640005111694	0.00192152889450152	-22.7798025670636	2.71635308055823	0.0240360944790603	-4.2056999206543	P19022-2	Isoform 2 of Cadherin-2	CDH2
-3.4284999370575	-4.07929992675781	-4.06360006332397	+	-4.06360006332397	0.0130590535856289	-8.66478584720773	2.51222959491572	0.029964494644432	-3.85713330904643	Q92626	Peroxidasin homolog	PXDN
-4.00360012054443	-3.92519998550415	-4.08199977874756	+	-4.00359988212586	0.0130590535856289	-8.66478584720773	3.89347488685547	0.0101629817155359	-4.00359996159871	Q8N126-3	Isoform 3 of Cell adhesion molecule 3	CADM3
-3.13960003852844	-3.73864984512329	-4.33769989013672	+	-3.73864996433258	0.0084497402998677	-10.8096694632707	2.0731566297768	0.0448782896569066	-3.73864992459615	B7Z544	cDNA FLJ51742, highly similar to Inter-alpha-trypsin inhibitor heavy chain H4	NA
-3.34150004386902	-2.88870000839233	-3.47849988937378	+	-3.34150004386902	0.00301867421417042	-18.1596258867019	2.52018375502249	0.0296373475847769	-3.23623331387838	A0A087X1W8	Cell adhesion molecule 1	CADM1
