Protein.ID	Protein.Name	Gene.Name	Ratio.M.L.TotProt.R1	Normalised.Ratio.M.L.TotProt.R1	Normalised.Ratio.M.L.TotProt.R1..LOG2	Score_R1	Ratio.M.L.TotProt.R2	Normalised.Ratio.M.L.TotProt.R2	Normalised.Ratio.M.L.TotProt.R2.LOG2	Score_R2	Ratio.M.L.TotProt.R3	Normalised.Ratio.M.L.TotProt.R3	Normalised.Ratio.M.L.TotProt.R3.LOG2	Score_R3	EM	HE	HM
A0A023T6R1	Mago nashi protein	FLJ10292	0.98658	0.833823529411765	-0.262186011195473	31.545	0.98914	0.930736297341802	-0.103555623566201	17.156	0.85483	0.887941332280749	-0.171463736356689	15.954	NO	NO	NO
A0A023T787	RNA-binding protein 8A	RBM8	1.1279	0.953262339418526	-0.0690547939790394	56.247	1.1029	1.03777934603623	0.0534997286481708	63.521	0.85901	0.892283242097828	-0.164426349869629	62.827	NO	NO	NO
A0A024QYR8	Transmembrane 9 superfamily member	TM9SF2	1.012	0.855307640297498	-0.225484667517395	26.283	1.018	0.957892260644554	-0.0620646975634792	37.59	0.89166	0.926197920453719	-0.110607577053783	35.859	NO	NO	YES
A0A024QYT5	Serpin peptidase inhibitor, clade E (Nexin, plasminogen activator inhibitor type 1), member 1, isoform CRA_b	SERPINE1	0.053538	0.0452484787018256	-4.46598690158389	118.94	0.054732	0.051500352858151	-4.27927387272235	79.212	0.084883	0.0881708925844751	-3.50355372508896	90.525	YES	YES	YES
A0A024QYT6	AP complex subunit sigma	AP1S1	0.92128	0.778634212305612	-0.360982358422996	26.692	0.78854	0.741980710421077	-0.430546413892483	57.362	0.8292	0.861318569454976	-0.215381159741144	54.795	NO	NO	NO
A0A024QYV8	CP110 protein, isoform CRA_a	CP110	NA	NA	NA	2.5743	NA	NA	NA	2.6312	NA	NA	NA	3.6465	NO	NO	NO
A0A024QYW3	Proteolipid protein 2 (Colonic epithelium-enriched), isoform CRA_a	PLP2	NA	NA	NA	5.2944	NA	NA	NA	10.104	NA	NA	NA	12.526	NO	NO	NO
A0A024QYW7	Pim-2 oncogene, isoform CRA_a	PIM2	NA	NA	NA	2.1321	NA	NA	NA	NA	NA	NA	NA	NA	NO	NO	NO
A0A024QYX0	Emopamil binding protein	EBP	1.5219	1.28625760649087	0.363179608753228	3.0328	NA	NA	NA	NA	NA	NA	NA	4.6571	NO	NO	NO
A0A024QYX3	RNA binding motif (RNP1, RRM) protein 3, isoform CRA_c	RBM3	0.55704	0.47079107505071	-1.08684112392079	14.49	0.88113	0.829103740296401	-0.270375466933006	9.6028	0.704	0.73126902182381	-0.451525847325899	18.057	NO	NO	NO
A0A024QYY3	Phosphoribosyl pyrophosphate synthetase-associated protein 2, isoform CRA_a	PRPSAP2	1.1395	0.963066260987153	-0.0542930329464083	25.824	0.94474	0.888957892260645	-0.169813011114077	60.225	0.85959	0.892885708053308	-0.16345257685033	23.266	NO	NO	NO
A0A024QYZ0	Sec61 gamma subunit, isoform CRA_a	SEC61G	NA	NA	NA	2.0925	1.0163	0.956292637026582	-0.06447592711706	3.0135	0.82148	0.853299539840658	-0.228875824874422	2.0202	NO	NO	NO
A0A024QZ26	Histone deacetylase	HDAC6	1.0002	0.845334685598377	-0.242405447391495	3.7542	NA	NA	NA	NA	NA	NA	NA	NA	NO	NO	NO
A0A024QZ30	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	SDHA	1.61	1.36071670047329	0.444366730790274	69.863	1.2831	1.20733944954128	0.271831354070953	62.746	1.161	1.20597064536569	0.27019479090237	78.725	NO	NO	NO
A0A024QZ64	Fructose-bisphosphate aldolase	ALDOC	0.88328	0.746517917511832	-0.421751207340339	98.54	0.62172	0.585010585744531	-0.773465364442663	184.9	0.47648	0.494936169770751	-1.01468561715582	88.479	YES	YES	YES
A0A024QZ68	RAB34, member RAS oncogene family, isoform CRA_b	RAB34	1.5184	1.28329952670723	0.359857939922042	23.105	1.315	1.237355916255	0.30726054054049	39.382	NA	NA	NA	NA	NO	NO	NO
A0A024QZ70	TAO kinase 1, isoform CRA_a	TAOK1	1.0654	0.900439486139283	-0.151298771537918	22.907	1.1337	1.06676076217361	0.0932366654545809	19.758	0.92178	0.957484600762431	-0.0626788105467145	24.632	NO	NO	NO
A0A024QZ75	Thyroid hormone receptor associated protein 1, isoform CRA_b	THRAP1	NA	NA	NA	4.0651	NA	NA	NA	1.3406	NA	NA	NA	8.6227	NO	NO	NO
A0A024QZ77	EF-hand domain family, member D2, isoform CRA_a	EFHD2	2.0173	1.70495267072346	0.769731690768341	105.24	1.6879	1.58823806163256	0.667427174820592	92.829	1.7176	1.78413021574514	0.835220915008214	74.283	YES	YES	NO
A0A024QZ78	Agmatine ureohydrolase (Agmatinase), isoform CRA_a	AGMAT	1.8116	1.53110209601082	0.614570486951044	3.7243	NA	NA	NA	5.472	NA	NA	NA	4.6571	NO	NO	NO
A0A024QZA8	EPH receptor A2, isoform CRA_a	EPHA2	2.505	2.11713995943205	1.08211664587087	103.6	2.4633	2.31785462244178	1.21279008228073	106.88	2.7642	2.87126964506445	1.52168882247481	109.41	YES	NO	NO
A0A024QZC1	CD2 antigen (Cytoplasmic tail) binding protein 2, isoform CRA_a	CD2BP2	0.81236	0.68657876943881	-0.542502848280951	31.963	0.74497	0.700983298047518	-0.5125480245617	33.779	0.84168	0.874281974841853	-0.193829439763952	21.929	YES	NO	NO
A0A024QZC2	SH2-B homolog, isoform CRA_b	SH2B	NA	NA	NA	3.9431	NA	NA	NA	4.763	NA	NA	NA	2.5561	NO	NO	NO
A0A024QZC8	Uncharacterized protein	FLJ23436	NA	NA	NA	8.4439	NA	NA	NA	7.3591	NA	NA	NA	11.616	NO	NO	NO
A0A024QZE7	Transforming growth factor beta 1 induced transcript 1, isoform CRA_a	TGFB1I1	0.53287	0.450363421230561	-1.15083843921056	42.444	0.48091	0.452514702422959	-1.14396342806586	67.079	0.51988	0.54001724299114	-0.88892262098043	40.826	NO	NO	NO
A0A024QZE9	Uncharacterized protein	FLJ20643	0.88271	0.746036173089926	-0.422682510690712	68.808	0.8088	0.761044460127029	-0.393947356623522	36.012	0.75417	0.783382326972816	-0.352211513287847	52.575	NO	NO	NO
A0A024QZF1	HCG19665, isoform CRA_a	hCG_19665	1.0164	0.859026369168357	-0.219225677045713	34.197	0.92236	0.867899317807575	-0.204400404895716	21.49	0.8151	0.84667241433038	-0.240124209907428	42.865	NO	NO	NO
A0A024QZF2	Related RAS viral (R-ras) oncogene homolog, isoform CRA_a	RRAS	1.016	0.85868830290737	-0.219793555439539	10.322	0.64463	0.60656786638438	-0.721259023294944	14.904	0.72813	0.756333683040583	-0.402905224649471	8.8963	NO	NO	NO
A0A024QZF6	AKT1 substrate 1 (Proline-rich), isoform CRA_a	AKT1S1	0.86587	0.731803583502366	-0.45047161459102	3.8315	0.77496	0.729202540578687	-0.455608507078762	39.658	0.75741	0.786747826448255	-0.34602680709821	50.324	NO	NO	NO
A0A024QZH6	Serine arginine-rich pre-mRNA splicing factor SR-A1, isoform CRA_a	SR-A1	0.95961	0.811029411764706	-0.302173860546319	34.449	0.67685	0.636885438720301	-0.650894207262935	61.106	0.93055	0.966594301503049	-0.049017605416082	57.143	NO	NO	NO
A0A024QZJ7	Coiled-coil domain containing 6, isoform CRA_a	CCDC6	0.60831	0.514122718052738	-0.959815331587534	95.097	0.55185	0.519266055045872	-0.945454176832406	82.156	0.50955	0.529287116577162	-0.917877557250202	44.26	YES	NO	YES
A0A024QZL0	Chromosome 10 open reading frame 35, isoform CRA_a	C10orf35	NA	NA	NA	1.1314	0.26662	0.250877440602211	-1.99494534831161	1.8778	NA	NA	NA	3.1123	NO	NO	NO
A0A024QZM0	Activating signal cointegrator 1 complex subunit 1, isoform CRA_a	ASCC1	1.107	0.935598377281947	-0.0960387354301533	6.2835	0.85463	0.804168430957422	-0.314430393162327	8.6562	0.76651	0.796200309542853	-0.328796662574086	10.484	NO	NO	NO
A0A024QZM5	KIAA1274, isoform CRA_a	KIAA1274	NA	NA	NA	1.0693	0.10967	0.103194542460598	-3.27656142037841	3.5264	0.16504	0.171432726366195	-2.54428554985144	3.5111	NO	NO	NO
A0A024QZM6	SEC24 related gene family, member C (S. cerevisiae), isoform CRA_a	SEC24C	0.82123	0.6940753887762	-0.526835721555639	112.7	0.70767	0.665885673959069	-0.586653592922013	159.8	NA	NA	NA	NA	YES	YES	YES
A0A024QZN2	HCG2024613, isoform CRA_a	hCG_2024613	0.71969	0.608257268424611	-0.717246440007276	91.804	0.64265	0.604704775346977	-0.725697122906001	91.322	0.59444	0.617465280302479	-0.69557007777494	64.589	NO	NO	NO
A0A024QZN4	Vinculin, isoform CRA_c	VCL	0.58212	0.491987829614604	-1.02330546707046	251.63	0.53735	0.505622206539638	-0.983868267920854	323.31	0.48056	0.49917420614723	-1.00238470721145	292.58	YES	YES	YES
A0A024QZN5	ZW10 interactor, isoform CRA_b	ZWINT	0.70308	0.59421906693712	-0.750933196657326	17.277	NA	NA	NA	NA	NA	NA	NA	NA	NO	NO	NO
A0A024QZN7	Chromosome 10 open reading frame 70, isoform CRA_b	C10orf70	0.65016	0.549492900608519	-0.86382725306326	20.294	0.61885	0.582310044695366	-0.780140589789361	13.721	0.48892	0.507858025781388	-0.977502854048284	11.01	NO	NO	NO
A0A024QZN8	Hect domain and RLD 4, isoform CRA_b	HERC4	0.77117	0.651766396213658	-0.617573123396427	91.785	NA	NA	NA	NA	NA	NA	NA	NA	NO	NO	NO
A0A024QZQ2	Prosaposin (Variant Gaucher disease and variant metachromatic leukodystrophy), isoform CRA_b	PSAP	0.54905	0.464038201487492	-1.10768451619846	42.712	NA	NA	NA	NA	NA	NA	NA	NA	NO	NO	NO
A0A024QZR0	Leucine rich repeat containing 20, isoform CRA_a	LRRC20	1.1685	0.987576064908722	-0.0180362234288799	1.7538	0.90232	0.84904257821689	-0.236091190293871	4.5877	NA	NA	NA	NA	NO	NO	NO
A0A024QZR3	Protein pelota homolog	hCG_2002731	0.8199	0.692951318458418	-0.529174091854705	19.288	NA	NA	NA	NA	NA	NA	NA	NA	NO	NO	NO
A0A024QZR5	Adaptor-related protein complex 3, mu 1 subunit, isoform CRA_a	AP3M1	0.88014	0.743864097363083	-0.42688902727676	24.386	NA	NA	NA	NA	0.69812	0.725161263516531	-0.463626233270816	30.228	NO	NO	NO
A0A024QZS1	Molybdopterin synthase catalytic subunit	MOCS2	1.2804	1.08215010141988	0.113900624446513	16.949	1.346	1.26652552340626	0.340876150971143	27.474	1.2151	1.26216617673027	0.335901867976365	22.485	NO	NO	NO
A0A024QZT0	Voltage-dependent anion channel 2, isoform CRA_c	VDAC2	0.9642	0.814908722109533	-0.295289622702818	95.418	0.84059	0.79095742178311	-0.338328060158554	143.3	0.80034	0.831340694497824	-0.266488261052585	114.74	YES	YES	NO
A0A024QZU0	Receptor (TNFRSF)-interacting serine-threonine kinase 1, isoform CRA_a	RIPK1	1.154	0.975321162947938	-0.036050733566223	12.017	1.0206	0.960338743824982	-0.0583847121419958	40.583	0.91543	0.950888637284333	-0.0726517042170917	14.499	NO	NO	NO
A0A024QZU8	Ras responsive element binding protein 1, isoform CRA_a	RREB1	NA	NA	NA	8.672	NA	NA	NA	17.697	NA	NA	NA	7.0548	NO	NO	NO
A0A024QZW2	Nucleolar protein 7, 27kDa, isoform CRA_a	NOL7	1.4168	1.1974306964165	0.259942159652846	17.604	1.4706	1.38376852505293	0.468602631061459	11.42	NA	NA	NA	NA	NO	NO	NO
A0A024QZW3	RAN binding protein 9, isoform CRA_a	RANBP9	0.88146	0.744979716024341	-0.424726949835352	42.017	0.77372	0.728035756292637	-0.457918787101742	35.697	0.67562	0.701789739381538	-0.510889240124749	38.537	NO	NO	NO
A0A024QZW7	Nucleoporin 153kDa, isoform CRA_a	NUP153	1.1133	0.940922920892495	-0.0878515506803857	158.17	1.1234	1.05706892495883	0.0800694490520736	309	0.9323	0.968412086713548	-0.0463070092175119	174.44	NO	YES	YES
A0A024QZX3	Serpin peptidase inhibitor, clade B (Ovalbumin), member 6, isoform CRA_a	SERPINB6	1.5386	1.30037187288709	0.378924255907768	54.865	1.4046	1.32166549047283	0.402357081306632	134.3	1.1372	1.18124876650289	0.240312822826969	70.975	YES	NO	YES
A0A024QZX9	KCCR13L, isoform CRA_a	LOC221955	1.5678	1.32505070993915	0.406047572942109	15.808	1.355	1.27499411903082	0.35049059260206	12.129	1.2883	1.33820153524945	0.420295404477022	13.454	NO	NO	NO
A0A024QZY0	Biphenyl hydrolase-like (Serine hydrolase breast epithelial mucin-associated antigen), isoform CRA_d	BPHL	1.728	1.4604462474645	0.546409259951763	7.7911	1.6461	1.54890613973183	0.631249722664492	6.4629	1.0513	1.09202148102752	0.127001235623207	6.8024	NO	NO	NO
A0A024QZY1	JTV1 gene, isoform CRA_a	JTV1	1.1052	0.934077079107505	-0.098386490286576	31.088	1.1037	1.03853211009174	0.0545458231675935	27.586	1.003	1.04185060921773	0.0591484246489839	29.055	NO	NO	NO
A0A024R029	Activator of basal transcription 1, isoform CRA_a	ABT1	1.3099	1.10708248816768	0.146762720617047	5.5884	1.0633	1.00051752528817	0.00074643803315051	2.248	0.84993	0.88285153369135	-0.179757250010423	4.7923	NO	NO	NO
A0A024R040	Succinyl-CoA:3-ketoacid-coenzyme A transferase	OXCT1	1.9312	1.63218390804598	0.706803623655954	87.46	1.6768	1.57779346036227	0.657908363010914	97.495	1.6001	1.66207892304017	0.732988889433937	117.42	YES	YES	YES
A0A024R071	Nucleoporin 155kDa, isoform CRA_a	NUP155	1.6566	1.4001014198783	0.485531336210158	122.93	1.5116	1.42234768289814	0.508274164733425	208.54	1.3741	1.42732494728423	0.513313818673216	123.82	NO	NO	YES
A0A024R073	Cleavage and polyadenylation specific factor 3-like, isoform CRA_c	CPSF3L	1.8312	1.54766734279919	0.630095410456619	4.2893	1.4495	1.36391437308869	0.447753074422222	7.1408	NA	NA	NA	NA	NO	NO	NO
A0A024R084	Stromal cell derived factor 4, isoform CRA_c	SDF4	0.72071	0.609119337390128	-0.715203189260706	12.795	0.84138	0.791700776287932	-0.336972828892702	24.15	0.73161	0.759948478773462	-0.396026481512161	16.596	NO	NO	NO
A0A024R094	Poly(A) binding protein interacting protein 1, isoform CRA_a	PAIP1	NA	NA	NA	2.3976	NA	NA	NA	2.9668	NA	NA	NA	3.1105	NO	NO	NO
A0A024R0A8	Adenosylhomocysteinase	AHCYL1	1.0813	0.913877620013523	-0.12992711212119	28.521	0.89716	0.84418725005881	-0.244365054760005	32.951	0.78485	0.815250698548888	-0.294684322737498	30.222	NO	NO	NO
A0A024R0B7	Transmembrane protein 77, isoform CRA_a	TMEM77	NA	NA	NA	1.5164	NA	NA	NA	NA	NA	NA	NA	NA	NO	NO	NO
A0A024R0C7	CTTNBP2 N-terminal like, isoform CRA_b	CTTNBP2NL	1.0658	0.90077755240027	-0.150757219339033	34.866	0.94987	0.893784991766643	-0.162000275356527	35.81	0.86442	0.897902795234287	-0.1553688241125	28.528	NO	NO	NO
A0A024R0E2	Cold shock domain containing E1, RNA-binding, isoform CRA_a	CSDE1	1.1075	0.936020960108181	-0.0953872587693248	156.08	1.0522	0.990072924017878	-0.0143933037917475	274.28	1.0818	1.12370288041051	0.168260621302939	257.64	NO	YES	YES
A0A024R0E5	Capping protein (Actin filament) muscle Z-line, alpha 1, isoform CRA_a	CAPZA1	1.1523	0.973884381338742	-0.0381775878468464	95.344	1.007	0.947541754881204	-0.0777385756323901	192.86	0.91813	0.953693220180532	-0.0684028337946391	88.839	YES	NO	NO
A0A024R0F1	Transcription termination factor, RNA polymerase II, isoform CRA_a	TTF2	1.0187	0.860970250169033	-0.215964707062129	1.623	NA	NA	NA	NA	NA	NA	NA	NA	NO	NO	NO
A0A024R0H5	DENN/MADD domain containing 2D, isoform CRA_d	DENND2D	5.3077	4.48588573360379	2.16539287194832	5.3045	NA	NA	NA	NA	NA	NA	NA	NA	NO	NO	NO
A0A024R0H7	Testis tissue sperm-binding protein Li 44a	WDR77	1.4257	1.20495267072346	0.268976480020755	27.17	1.3076	1.23039284874147	0.299119023240729	87.12	1.3007	1.35108184188385	0.434115068670819	38.067	YES	NO	NO
