Ratio.M.L.TotProt.R1.LOG2	Ratio.M.L.TotProt.R2.LOG2	Ratio.M.L.TotProt.R3.LOG2	T-test Significant 	Median_Log2.E.M.	p.value	t.statistic	-Log T-test p-value 	T-test q-value 	T-test Difference 	Protein.ID	Protein.Names	Gene.Name
-7.23489999771118	-6.87249994277954	-5.16309976577759	+	-6.87249994277954	0.00974617329907147	-10.0551887811018	2.01116587084152	0.0277435639273699	-6.42349990208944	Q5U0D2	Transgelin	TAGLN
-6.23449993133545	-5.70319986343384	-6.27419996261597	+	-6.23449993133545	0.00091815822511732	-32.9793439346898	3.03708247089672	0.00983835655545666	-6.07063325246175	Q6IBG1	MYL9 protein	MYL9
-6.12139987945557	-5.59579992294312	-5.59369993209839	+	-5.59579992294312	0.000924288500500695	-32.8696441670781	3.03419245018767	0.00984705872958598	-5.77029991149902	Q02952	A-kinase anchor protein 12	AKAP12
-5.57980012893677	-5.49069976806641	-5.10550022125244	+	-5.49069976806641	0.000727771642402917	-37.0480440405791	3.13800487068973	0.00906321115660195	-5.39200003941854	Q14315	Filamin-C	FLNC
-4.52180004119873	-5.84189987182617	-5.18184995651245	+	-5.18184995651245	0.00536484004154361	-13.5978010051137	2.2704432224833	0.0204262794433471	-5.18184995651245	P81605	Dermcidin	DCD
-5.13009977340698	-5.15729999542236	-5.1697998046875	+	-5.15729999542236	5.17352812618337E-06	-439.647803374158	5.28621318550363	0.00115189728409483	-5.15239985783895	Q59GA0	Thy-1 cell surface antigen variant (Fragment)	NA
-5.14015007019043	-4.68779993057251	-5.59250020980835	+	-5.14015007019043	0.00257157300255483	-19.6816587425363	2.58980114229231	0.0149373284143524	-5.14015007019043	H6VRG2	Keratin 1	KRT1
-5.12439966201782	-5.11800003051758	-5.13079977035522	+	-5.1243999004364	5.19917782888452E-07	-1386.859592217	6.28406531434884	0.000332812381248717	-5.12439982096354	Q5M8T4	Connective tissue growth factor	CTGF
-5.23070001602173	-5.02059984207153	-4.71339988708496	+	-5.02059984207153	0.000905505362056075	-33.2092745732313	3.0431089736167	0.00982434948959471	-4.98823324839274	Q53H26	Transferrin variant (Fragment)	NA
-4.93179988861084	-4.92159986495972	-4.92670011520386	+	-4.92669987678528	3.57197709285862E-07	-1673.19112035566	6.44709134860602	0.000304868235262085	-4.92669995625814	K7QZC2	Pro-opiomelanocortin (Fragment)	POMC
-4.59549999237061	-4.67509984970093	-3.85290002822876	+	-4.59549999237061	0.00356279498103154	-16.7086626041131	2.44820916815819	0.0171002779257863	-4.37449995676676	Q9UHG2	ProSAAS	PCSK1N
-5.06990003585815	-4.42589998245239	-3.84920001029968	+	-4.42589998245239	0.00622318893347105	-12.6170868659373	2.20598701385389	0.0221536776594748	-4.44833334287008	P26022	Pentraxin-related protein PTX3	PTX3
-4.46600008010864	-4.27930021286011	-3.50359988212585	+	-4.27930021286011	0.00516770324792024	-13.8567982885949	2.28670243340161	0.020002878557372	-4.08296672503154	A0A024QYT5	Serpin peptidase inhibitor, clade E (Nexin, plasminogen activator inhibitor type 1), member 1, isoform CRA_b	SERPINE1
